_id,name,category,stockQuantity,reorderLevel,createdAt,updatedAt,__v,supply_id,user_id,quantity,reason,date,role
6811bc7448a8a1fadd21a016,IV Drip,Medical Equipment,200,20,2025-04-30T06:00:20.323Z,2025-05-03T00:39:38.737Z,0,,,,,,
6811bc7448a8a1fadd21a017,Bandages,First Aid,500,100,2025-04-30T06:00:20.323Z,2025-05-02T03:09:12.440Z,0,,,,,,
6811bc7448a8a1fadd21a018,Cotton Rolls,First Aid,0,50,2025-04-30T06:00:20.323Z,2025-05-02T03:47:34.646Z,0,,,,,,
6811bc7448a8a1fadd21a019,Surgical Gloves,Protective Gear,999,200,2025-04-30T06:00:20.323Z,2025-05-02T04:01:11.585Z,0,,,,,,
6811bc7448a8a1fadd21a01a,Antibiotic Cream,Medi,0,30,2025-04-30T06:00:20.324Z,2025-05-02T03:58:45.406Z,0,,,,,,
6811bc7448a8a1fadd21a01b,N95 Mask,Protective Gear,0,100,2025-04-30T06:00:20.324Z,2025-05-03T00:40:42.084Z,0,,,,,,
6811bc7448a8a1fadd21a01c,Thermometer,Equipment,50,10,2025-04-30T06:00:20.324Z,2025-05-02T03:09:12.632Z,0,,,,,,
6811bc7448a8a1fadd21a01d,Painkiller Gel,Medication,200,40,2025-04-30T06:00:20.324Z,2025-05-02T03:09:12.671Z,0,,,,,,
68143e99df0a8fc7b36136b3,IV DRip,Medical ,200,10,2025-05-02T03:40:09.893Z,2025-05-02T03:40:09.893Z,0,,,,,,
681565e49dbb05afefd85500,Gloves,Medical,200,10,2025-05-03T00:40:04.429Z,2025-05-03T00:40:04.429Z,0,,,,,,
681577f6047f89b1b82c1909,IV Drip,Medical Equipment,200,20,2025-05-03T01:56:46.988871Z,2025-05-03T01:56:46.988871Z,,,,,,,
681577f6047f89b1b82c190a,Bandages,First Aid,500,100,2025-05-03T01:56:46.988871Z,2025-05-03T01:56:46.988871Z,,,,,,,
681577f6047f89b1b82c190b,Cotton Rolls,First Aid,0,50,2025-05-03T01:56:46.988871Z,2025-05-03T01:56:46.988871Z,,,,,,,
681577f6047f89b1b82c190c,Surgical Gloves,Protective Gear,999,200,2025-05-03T01:56:46.988871Z,2025-05-03T01:56:46.988871Z,,,,,,,
681577f6047f89b1b82c190d,Antibiotic Cream,Medication,10,30,2025-05-03T01:56:46.988871Z,2025-05-03T01:56:46.988871Z,,,,,,,
681577fe047f89b1b82c190e,,,,,2025-05-03T01:56:46.988871Z,2025-05-03T01:56:46.988871Z,,supply_1,user_1,21,emergency,2025-05-03T01:56:46.988871Z,
681577fe047f89b1b82c190f,,,,,2025-05-03T01:56:46.988871Z,2025-05-03T01:56:46.988871Z,,supply_2,user_2,30,wound care,2025-05-03T01:56:46.988871Z,
681577fe047f89b1b82c1910,,,,,2025-05-03T01:56:46.988871Z,2025-05-03T01:56:46.988871Z,,supply_3,user_3,48,emergency,2025-05-03T01:56:46.988871Z,
681577fe047f89b1b82c1911,,,,,2025-05-03T01:56:46.988871Z,2025-05-03T01:56:46.988871Z,,supply_4,user_4,23,wound care,2025-05-03T01:56:46.988871Z,
681577fe047f89b1b82c1912,,,,,2025-05-03T01:56:46.988871Z,2025-05-03T01:56:46.988871Z,,supply_5,user_5,11,demo,2025-05-03T01:56:46.988871Z,
6815780a047f89b1b82c1914,Dr. Ashok,,,,2025-05-03T01:56:46.988871Z,2025-05-03T01:56:46.988871Z,,,,,,,Admin
6815780a047f89b1b82c1915,Nurse Priya,,,,2025-05-03T01:56:46.988871Z,2025-05-03T01:56:46.988871Z,,,,,,,Nurse
6815780a047f89b1b82c1916,Nurse Rohan,,,,2025-05-03T01:56:46.988871Z,2025-05-03T01:56:46.988871Z,,,,,,,Nurse
6815780a047f89b1b82c1917,Pharmacist Anjali,,,,2025-05-03T01:56:46.988871Z,2025-05-03T01:56:46.988871Z,,,,,,,Pharmacist
6815780a047f89b1b82c1918,System,,,,2025-05-03T01:56:46.988871Z,2025-05-03T01:56:46.988871Z,,,,,,,Admin
